Name.of.School,Safety_and_security,Business_entrepreneurship_development,Career_development,STEM,Governance,Co_curricular_activities,Academics,Character_and_creativity
School 004,No,Yes,No,No,No,Yes,No,No
School 009,No,No,No,No,No,Yes,Yes,No
School 010,No,No,No,No,No,No,Yes,No
School 017,No,No,Yes,Yes,No,Yes,Yes,Yes
School 030,Yes,No,No,No,No,No,No,No
School 031,No,No,Yes,No,No,Yes,Yes,Yes
School 032,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 040,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 047,No,No,No,No,No,Yes,Yes,No
School 048,No,No,No,No,No,No,Yes,Yes
School 049,No,No,Yes,No,No,No,Yes,No
School 056,Yes,Yes,No,Yes,No,Yes,Yes,Yes
School 061,No,No,No,No,No,Yes,Yes,Yes
School 069,No,No,Yes,No,No,No,No,Yes
School 083,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 087,No,No,No,No,No,Yes,Yes,Yes
School 091,Yes,No,No,No,No,Yes,Yes,Yes
School 095,No,No,No,No,Yes,Yes,No,No
School 096,No,No,Yes,No,No,Yes,Yes,No
School 098,No,No,Yes,No,No,No,No,No
School 099,Yes,No,No,No,No,No,No,No
School 102,Yes,No,No,No,No,No,No,No
School 118,No,No,No,No,No,Yes,No,No
School 120,No,No,No,No,No,Yes,No,No
School 129,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 131,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
School 137,No,No,No,No,No,No,No,Yes
School 139,Yes,No,No,No,Yes,Yes,Yes,Yes
School 140,Yes,No,No,No,Yes,Yes,No,No
School 146,Yes,No,No,Yes,No,Yes,No,Yes
School 160,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 162,No,No,No,No,Yes,No,No,No
School 163,No,Yes,Yes,Yes,No,Yes,Yes,Yes
School 165,Yes,Yes,Yes,No,No,Yes,Yes,Yes
School 166,No,No,No,No,No,Yes,No,No
School 172,No,No,Yes,No,Yes,Yes,Yes,Yes
School 182,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
School 184,No,No,No,No,No,No,Yes,No
School 188,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
School 197,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
School 200,No,Yes,No,Yes,No,No,No,Yes
School 202,Yes,No,No,No,No,No,No,No
School 204,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 213,No,No,No,Yes,No,Yes,Yes,No
School 216,No,No,No,Yes,No,Yes,No,No
School 225,No,No,Yes,No,No,No,No,No
School 227,No,No,Yes,Yes,Yes,Yes,Yes,Yes
School 234,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 236,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 241,No,No,No,Yes,No,No,No,No
School 248,No,No,No,No,No,No,Yes,No
School 249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 250,No,No,No,No,No,Yes,No,No
School 256,No,No,No,Yes,No,No,Yes,Yes
School 266,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 271,Yes,No,Yes,Yes,No,Yes,Yes,Yes
School 273,No,No,No,No,No,No,Yes,No
School 322,Yes,No,No,No,No,No,No,No
School 331,No,No,No,No,No,No,No,No
School 335,No,Yes,No,No,No,No,No,No
School 337,No,No,No,Yes,No,Yes,No,No
School 339,No,No,No,No,No,No,Yes,No
School 344,Yes,Yes,No,No,Yes,Yes,Yes,No
School 346,Yes,No,No,No,No,Yes,No,Yes
School 348,Yes,No,Yes,Yes,No,Yes,Yes,Yes
School 349,No,No,No,No,No,No,Yes,No
School 356,No,No,No,No,Yes,No,No,Yes
School 360,No,No,No,No,No,Yes,Yes,No
School 361,No,Yes,Yes,No,Yes,Yes,Yes,No
School 366,No,No,No,No,No,No,No,Yes
School 369,No,No,No,No,No,Yes,Yes,Yes
School 372,No,No,No,No,No,Yes,No,No
School 377,Yes,No,No,No,Yes,Yes,Yes,Yes
School 379,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 380,No,No,No,No,No,No,Yes,No
School 388,No,No,No,No,No,Yes,Yes,Yes
School 389,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 391,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 394,No,No,No,No,No,Yes,No,No
School 397,No,No,No,No,No,No,Yes,No
School 401,Yes,Yes,Yes,No,No,Yes,No,Yes
School 404,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 405,No,No,No,No,No,No,Yes,No
School 407,No,No,Yes,No,No,No,No,No
School 408,No,No,Yes,Yes,No,Yes,Yes,Yes
School 411,Yes,Yes,No,No,No,No,Yes,Yes
School 427,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 434,No,No,No,No,No,No,Yes,No
School 437,No,No,No,No,No,No,Yes,No
School 439,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 447,Yes,No,Yes,No,No,Yes,Yes,Yes
School 449,No,No,No,No,No,Yes,No,No
School 450,Yes,No,No,No,No,No,No,No
School 455,No,No,No,No,No,Yes,No,No
School 457,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
School 458,No,No,No,No,No,No,No,Yes
School 459,Yes,No,No,Yes,Yes,Yes,Yes,No
School 460,No,Yes,No,Yes,No,Yes,Yes,No
School 462,No,No,No,No,No,No,Yes,No
School 466,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 470,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 476,Yes,No,No,No,No,No,No,No
School 477,No,No,No,No,No,No,Yes,No
School 492,No,No,Yes,No,Yes,No,Yes,Yes
School 494,No,No,No,No,No,Yes,No,No
School 501,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
School 505,Yes,No,No,No,No,Yes,Yes,Yes
School 523,No,No,Yes,No,No,Yes,Yes,Yes
School 535,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
School 539,Yes,No,Yes,Yes,No,Yes,Yes,Yes
School 550,No,No,No,Yes,No,No,Yes,Yes
School 554,No,No,No,No,No,Yes,No,No
School 557,No,No,No,No,No,No,Yes,Yes
School 558,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 560,No,No,Yes,No,No,No,No,Yes
School 567,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 571,Yes,No,Yes,Yes,No,Yes,Yes,Yes
School 574,No,No,No,No,No,Yes,Yes,No
School 577,No,Yes,No,No,No,No,No,Yes
School 581,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 590,No,No,Yes,No,Yes,Yes,Yes,Yes
School 591,No,No,No,No,No,No,Yes,No
School 592,No,No,No,No,No,Yes,No,No
School 593,No,Yes,No,Yes,No,No,No,Yes
School 599,No,No,No,Yes,No,No,No,No
School 603,Yes,No,No,Yes,No,No,Yes,No
School 608,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 609,No,No,No,No,Yes,No,Yes,Yes
School 611,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 613,No,No,No,No,No,Yes,No,Yes
School 614,No,No,No,No,No,No,Yes,No
School 615,Yes,No,No,No,No,No,Yes,No
School 621,No,Yes,Yes,Yes,No,No,No,No
School 629,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 630,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
School 631,Yes,No,Yes,Yes,Yes,Yes,Yes,No
School 633,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 634,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
School 635,No,No,No,No,No,No,Yes,No
School 639,No,Yes,Yes,No,Yes,Yes,Yes,Yes
School 642,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 643,No,No,No,No,No,No,No,No
School 645,No,No,No,No,No,No,Yes,No
School 648,No,No,No,No,No,Yes,Yes,Yes
School 649,No,No,No,No,No,Yes,No,No
School 650,No,No,No,No,No,No,Yes,No
School 651,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
School 652,No,No,No,No,No,No,Yes,No
School 674,No,No,No,Yes,No,No,No,No
School 675,Yes,No,No,No,No,No,No,No
School 677,Yes,No,Yes,No,No,No,No,No
School 679,No,No,No,No,No,Yes,Yes,No
School 680,Yes,No,Yes,No,No,Yes,Yes,No
School 701,No,No,No,Yes,No,No,No,No
School 744,No,No,No,Yes,No,Yes,No,No
School 745,No,No,No,Yes,No,No,No,No
School 748,No,No,No,No,No,Yes,No,No
School 750,Yes,No,No,No,No,No,No,No
School 753,Yes,No,Yes,No,No,No,No,No
School 754,No,No,Yes,No,No,No,Yes,No
School 757,No,No,No,No,No,No,Yes,No
School 766,No,No,No,No,No,Yes,No,No
School 769,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
School 773,Yes,No,No,No,No,No,No,No
